STN,LON,LAT,STN_SP,HT,HT_PA,HT_TA,HT_WD,HT_RN,STN,STN_KO,STN_EN,FCT_ID,LAW_ID,BASIN,
90,128.56473,38.25085,35100,17.53,18.73,1.7,10,1.4,90,속초,Sokcho,11D20401,4282033035,----,
95,127.3042,38.14787,31110,155.48,156.98,1.8,13,1.5,101,철원,Cheorwon,11D10101,4278025624,----,
98,127.0607,37.90188,22200,115.62,116.74,1.7,10,1,119,동두천,Dongducheon,11B20401,4125010300,----,
99,126.76649,37.88588,22300,29.42,31.4,1.7,10,0.5,99,문산,Munsan,11B20305,4148025025,----,
100,128.71834,37.67713,35400,772.43,773.43,1.7,10,1.4,100,대관령,Daegwallyeong,11D20201,4276038024,----,
101,127.7357,37.90262,31210,75.82,77.05,1.5,10,1.4,101,춘천,Chuncheon,11D10301,4211011800,----,
102,124.63047,37.9661,21101,146,147.2,1.8,9,1.2,102,백령도,Baengnyeongdo,11A00101,2872033024,----,
104,128.85535,37.80456,35201,75.24,76.67,1.7,10,1.4,105,북강릉,Bukgangneung,11D20501,4215036027,----,
105,128.89099,37.75147,35300,27.12,28.22,1.7,10,0.5,105,강릉,Gangneung,11D20501,4215010700,----,
106,129.12433,37.50709,35500,40.46,41.66,1.7,10,1.4,106,동해,Donghae,11D20601,4217010400,----,
108,126.9657917,37.57141111,11101,85.5,86.5,1.5,10,0.6,108,서울,Seoul,11B10101,1111017800,----,
112,126.62436,37.47759,23201,68.15,70.15,1.5,10,0.6,112,인천,Incheon,11B20201,2811013700,----,
114,127.94659,37.33749,31300,150.11,151.11,1.7,14,1.4,114,원주,Wonju,11D10401,4213010600,----,
115,130.89863,37.48129,35601,221.14,223.7,1.6,10,1.3,115,울릉도,Ulleungdo,1.10E+102,4794025024,----,
119,126.98533,37.27226,23311,34.84,35.84,1.6,18.7,1.1,119,수원,Suwon,11B20601,4111313100,----,
121,128.45743,37.18126,31400,240.54,242.05,1.7,10,1.4,121,영월,Yeongwol,11D10501,4275025022,----,
127,127.9525,36.97045,41300,114.85,116.25,1.65,10,1,131,충주,Chungju,11C10101,4313012200,----,
129,126.4939,36.77658,45110,25.25,26.55,1.6,20.2,1.1,129,서산,Seosan,11C20101,4421010600,----,
130,129.41278,36.99176,71100,48.98,50.18,1.75,10,1.3,143,울진,Uljin,11H10101,4793025023,----,
131,127.44066,36.63924,41111,58.7,60.1,1.7,10,0.8,131,청주,Cheongju,11C10301,4311311400,----,
