대여일시,대여건수,,,,
2021-09-27," 126,623 ",,,,
2021-09-28," 89,055 ",,,,
2021-09-29," 57,781 ",,,,
2021-09-30," 145,928 ",,,,
2021-10-01," 138,491 ",,,,
2021-10-02," 136,182 ",,,,
2021-10-03," 135,425 ",,,,
2021-10-04," 75,930 ",,,,
2021-10-05," 119,181 ",,,,
2021-10-06," 79,697 ",,,,
2021-10-07," 116,818 ",,,,
2021-10-08," 70,341 ",,,,
2021-10-09," 122,751 ",,,,
2021-10-10," 36,212 ",,,,
2021-10-11," 122,066 ",,,,
2021-10-12," 136,913 ",,,,
2021-10-13," 146,363 ",,,,
2021-10-14," 145,060 ",,,,
2021-10-15," 128,018 ",,,,
2021-10-16," 83,290 ",,,,
2021-10-17," 69,495 ",,,,
2021-10-18," 89,456 ",,,,
2021-10-19," 105,129 ",,,,
2021-10-20," 116,327 ",,,,
2021-10-21," 116,401 ",,,,
2021-10-22," 121,592 ",,,,
2021-10-23," 107,272 ",,,,
2021-10-24," 99,056 ",,,,
2021-10-25," 116,265 ",,,,
2021-10-26," 125,167 ",,,,
2021-10-27," 123,048 ",,,,
2021-10-28," 126,416 ",,,,
2021-10-29," 129,282 ",,,,
2021-10-30," 111,853 ",,,,
2021-10-31," 96,432 ",,,,
2021-11-01," 119,911 ",,,,
2021-11-02," 128,186 ",,,,
2021-11-03," 129,594 ",,,,
2021-11-04," 123,993 ",,,,
2021-11-05," 130,048 ",,,,
2021-11-06," 118,833 ",,,,
2021-11-07," 111,896 ",,,,
2021-11-08," 18,569 ",,,,
2021-11-09," 38,917 ",,,,
2021-11-10," 82,413 ",,,,
2021-11-11," 93,961 ",,,,
2021-11-12," 93,366 ",,,,
2021-11-13," 89,598 ",,,,
2021-11-14," 88,655 ",,,,
2021-11-15," 107,707 ",,,,
2021-11-16," 108,002 ",,,,
2021-11-17," 108,450 ",,,,
2021-11-18," 105,793 ",,,,
2021-11-19," 113,731 ",,,,
2021-11-20," 87,061 ",,,,
2021-11-21," 65,968 ",,,,
2021-11-22," 72,570 ",,,,
2021-11-23," 73,003 ",,,,
2021-11-24," 87,852 ",,,,
2021-11-25," 91,716 ",,,,
2021-11-26," 85,807 ",,,,
2021-11-27," 71,353 ",,,,
2021-11-28," 66,888 ",,,,
2021-11-29," 94,863 ",,,,
2021-11-30," 28,587 ",,,,
2021-12-01," 62,785 ",,,,
2021-12-02," 65,547 ",,,,
2021-12-03," 70,087 ",,,,
2021-12-04," 59,475 ",,,,
2021-12-05," 58,055 ",,,,
2021-12-06," 84,020 ",,,,
2021-12-07," 89,379 ",,,,
2021-12-08," 90,993 ",,,,
2021-12-09," 88,633 ",,,,
2021-12-10," 73,232 ",,,,
2021-12-11," 69,787 ",,,,
2021-12-12," 46,233 ",,,,
2021-12-13," 62,218 ",,,,
