item,지점명,지점코드,dtYmdHm
0.0,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
1.3,천안시 성환읍,031004A002,201801010600
1.3,천안시 성환읍,031004A002,201801010600
1.3,천안시 성환읍,031004A002,201801010600
2018-01-01 06:00,천안시 성환읍,031004A002,201801010600
0.0,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
95.5,천안시 성환읍,031004A002,201801010600
95.5,천안시 성환읍,031004A002,201801010600
95.5,천안시 성환읍,031004A002,201801010600
1,천안시 성환읍,031004A002,201801010600
031004A002,천안시 성환읍,031004A002,201801010600
천안시 성환읍,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
32.6,천안시 성환읍,031004A002,201801010600
-,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
-,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
-,천안시 성환읍,031004A002,201801010600
0.0,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
-7.4,천안시 성환읍,031004A002,201801010600
-7.5,천안시 성환읍,031004A002,201801010600
-4.2,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
104.3,천안시 성환읍,031004A002,201801010600
X,천안시 성환읍,031004A002,201801010600
104.3,천안시 성환읍,031004A002,201801010600
