item,지점명,지점코드,dtYmdHm
0.0,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
0.6,천안시 성환읍,031004A002,201801010500
0.6,천안시 성환읍,031004A002,201801010500
0.6,천안시 성환읍,031004A002,201801010500
2018-01-01 05:00,천안시 성환읍,031004A002,201801010500
0.0,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
93.3,천안시 성환읍,031004A002,201801010500
93.3,천안시 성환읍,031004A002,201801010500
93.3,천안시 성환읍,031004A002,201801010500
1,천안시 성환읍,031004A002,201801010500
031004A002,천안시 성환읍,031004A002,201801010500
천안시 성환읍,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
32.6,천안시 성환읍,031004A002,201801010500
-,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
-,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
-,천안시 성환읍,031004A002,201801010500
0.0,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
-6.9,천안시 성환읍,031004A002,201801010500
-6.9,천안시 성환읍,031004A002,201801010500
-4.2,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
74.6,천안시 성환읍,031004A002,201801010500
X,천안시 성환읍,031004A002,201801010500
74.6,천안시 성환읍,031004A002,201801010500
