item,지점명,지점코드,dtYmdHm
0.0,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
1.5,천안시 성환읍,031004A002,201801011700
1.5,천안시 성환읍,031004A002,201801011700
1.5,천안시 성환읍,031004A002,201801011700
2018-01-01 17:00,천안시 성환읍,031004A002,201801011700
64.0,천안시 성환읍,031004A002,201801011700
-,천안시 성환읍,031004A002,201801011700
62.4,천안시 성환읍,031004A002,201801011700
62.4,천안시 성환읍,031004A002,201801011700
62.4,천안시 성환읍,031004A002,201801011700
1,천안시 성환읍,031004A002,201801011700
031004A002,천안시 성환읍,031004A002,201801011700
천안시 성환읍,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
32.1,천안시 성환읍,031004A002,201801011700
-,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
-,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
-,천안시 성환읍,031004A002,201801011700
8.5,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
1.3,천안시 성환읍,031004A002,201801011700
-7.9,천안시 성환읍,031004A002,201801011700
3.4,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
270.5,천안시 성환읍,031004A002,201801011700
X,천안시 성환읍,031004A002,201801011700
270.5,천안시 성환읍,031004A002,201801011700
