item,지점명,지점코드,dtYmdHm
0.0,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
2.0,강진군 군동면,059223A001,201801011600
2.0,강진군 군동면,059223A001,201801011600
2.0,강진군 군동면,059223A001,201801011600
2018-01-01 16:00,강진군 군동면,059223A001,201801011600
13.0,강진군 군동면,059223A001,201801011600
9.9,강진군 군동면,059223A001,201801011600
39.6,강진군 군동면,059223A001,201801011600
39.6,강진군 군동면,059223A001,201801011600
39.6,강진군 군동면,059223A001,201801011600
1,강진군 군동면,059223A001,201801011600
059223A001,강진군 군동면,059223A001,201801011600
강진군 군동면,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
34.8,강진군 군동면,059223A001,201801011600
-,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
-,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
-,강진군 군동면,059223A001,201801011600
12.2,강진군 군동면,059223A001,201801011600
461.0,강진군 군동면,059223A001,201801011600
6.9,강진군 군동면,059223A001,201801011600
-3.8,강진군 군동면,059223A001,201801011600
7.6,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
4.5,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
340.5,강진군 군동면,059223A001,201801011600
X,강진군 군동면,059223A001,201801011600
340.5,강진군 군동면,059223A001,201801011600
