item,지점명,지점코드,dtYmdHm
0.0,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
0.4,강진군 군동면,059223A001,201801010600
0.4,강진군 군동면,059223A001,201801010600
0.4,강진군 군동면,059223A001,201801010600
2018-01-01 06:00,강진군 군동면,059223A001,201801010600
0.0,강진군 군동면,059223A001,201801010600
-5.0,강진군 군동면,059223A001,201801010600
86.1,강진군 군동면,059223A001,201801010600
86.1,강진군 군동면,059223A001,201801010600
86.1,강진군 군동면,059223A001,201801010600
1,강진군 군동면,059223A001,201801010600
059223A001,강진군 군동면,059223A001,201801010600
강진군 군동면,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
35.0,강진군 군동면,059223A001,201801010600
-,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
-,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
-,강진군 군동면,059223A001,201801010600
0.6,강진군 군동면,059223A001,201801010600
0.0,강진군 군동면,059223A001,201801010600
-2.7,강진군 군동면,059223A001,201801010600
-2.8,강진군 군동면,059223A001,201801010600
0.0,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
2.6,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
144.8,강진군 군동면,059223A001,201801010600
X,강진군 군동면,059223A001,201801010600
144.8,강진군 군동면,059223A001,201801010600
