item,지점명,지점코드,dtYmdHm
0.0,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
0.5,천안시 성환읍,031004A002,201801010100
0.5,천안시 성환읍,031004A002,201801010100
0.5,천안시 성환읍,031004A002,201801010100
2018-01-01 01:00,천안시 성환읍,031004A002,201801010100
0.0,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
84.7,천안시 성환읍,031004A002,201801010100
84.7,천안시 성환읍,031004A002,201801010100
84.7,천안시 성환읍,031004A002,201801010100
1,천안시 성환읍,031004A002,201801010100
031004A002,천안시 성환읍,031004A002,201801010100
천안시 성환읍,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
32.6,천안시 성환읍,031004A002,201801010100
-,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
-,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
-,천안시 성환읍,031004A002,201801010100
0.0,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
-4.9,천안시 성환읍,031004A002,201801010100
-4.8,천안시 성환읍,031004A002,201801010100
-4.2,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
242.7,천안시 성환읍,031004A002,201801010100
X,천안시 성환읍,031004A002,201801010100
242.7,천안시 성환읍,031004A002,201801010100
